Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
68,tt0077247,2016-07-10,2016-07-10,"Bloodsucking Freaks (1976)
Women Against Pornography unwittingly raised this ugly horror movie‚??s profile by denouncing its relentless, misogynistic violence.",The Incredible Torture Show,https://www.imdb.com/title/tt0077247/,movie,4.9,84,1976,"Comedy, Horror",5086,1976-11-03,Joel M. Reed
69,tt0055601,2016-07-10,2016-07-10,"Luis Bunuel's surreal masterpiece was widely condemned for its suggestions of incest, rape and necrophilia.",Viridiana,https://www.imdb.com/title/tt0055601/,movie,8.2,90,1961,"Comedy, Drama",21091,1961-05-17,Luis BuÒuel
70,tt0072184,2016-07-10,2016-07-10,Tacking a cynical ‚??real‚?ù murder sequence onto a ho-hum exploitation movie generated enough media outrage to make Snuff a lucrative hit.,Snuff,https://www.imdb.com/title/tt0072184/,movie,2.8,80,1975,Horror,1489,1975-01-31,"Simon Nuchtern, Horacio Fredriksson, Michael Findlay"
71,tt0066892,2016-07-10,2016-07-10,"Moviegoers expecting to be titillated were taken aback by this drama's raw, taboo-breaking examination of misogyny.",Carnal Knowledge,https://www.imdb.com/title/tt0066892/,movie,7.0,98,1971,Drama,10934,1971-06-30,Mike Nichols
72,tt0072285,2016-07-10,2016-07-10,A US distributor added hardcore inserts to Bo Vibenius' grim rape-revenge movie.,Thriller - en grym film,https://www.imdb.com/title/tt0072285/,movie,6.4,104,1973,"Action, Thriller",6539,1973-05-31,Bo Arne Vibenius
73,tt0415856,2016-07-10,2016-07-10,Outcry over a rape scene involving an Elvis-loving pre-teen (played by 12-year-old Dakota Fanning) helped sink this drama set in 1950s Alabama.,Hounddog,https://www.imdb.com/title/tt0415856/,movie,6.3,102,2007,"Drama, Music",5851,2007-01-22,Deborah Kampmeier
74,tt0411705,2016-07-10,2016-07-10,"This UK movie received limited US distribution but revived the ""porn or art"" debate by charting a couple's relationship through nine unsimulated sex scenes.",9 Songs,https://www.imdb.com/title/tt0411705/,movie,4.8,71,2004,"Drama, Music, Romance",20993,2004-05-16,Michael Winterbottom
75,tt0062374,2016-07-10,2016-07-10,"Frederick Wiseman's disturbing documentary exposed abuse in mental institutions, but its unflinching footage of patients was called insensitive.",Titicut Follies,https://www.imdb.com/title/tt0062374/,movie,7.7,84,1967,Documentary,3831,1967-09-28,Frederick Wiseman
76,tt0330099,2016-07-10,2016-07-10,Gossip about cult actor Vincent Gallo's directing debut centered on a graphic oral-sex scene and his feud with critic Roger Ebert.,The Brown Bunny,https://www.imdb.com/title/tt0330099/,movie,5.0,93,2003,Drama,13399,2003-05-21,Vincent Gallo
77,tt0106471,2016-07-10,2016-07-10,Madonna and Kim Basinger bailed on Jennifer Lynch's story of a sexually troubled surgeon who tames his dream girl by amputation.,Boxing Helena,https://www.imdb.com/title/tt0106471/,movie,4.8,107,1993,"Drama, Mystery, Romance, Thriller",11105,1993-01-31,Jennifer Lynch
