Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
49,tt1655442,2013-08-27,2013-08-27,2012 - 5 wins,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",224736,2011-05-15,Michel Hazanavicius
50,tt0037884,2013-08-27,2013-08-27,1946 - 4 wins,The Lost Weekend,https://www.imdb.com/title/tt0037884/,movie,7.9,101,1945,"Drama, Film-Noir",32196,1945-10-05,Billy Wilder
51,tt0040416,2013-08-27,2013-08-27,1949 - 4 wins,Hamlet,https://www.imdb.com/title/tt0040416/,movie,7.6,154,1948,Drama,14627,1948-05-06,Laurence Olivier
52,tt0048356,2013-08-27,2013-08-27,1956 - 4 wins,Marty,https://www.imdb.com/title/tt0048356/,movie,7.7,90,1955,"Drama, Romance",20429,1955-04-11,Delbert Mann
53,tt0057590,2013-08-27,2013-08-27,1964 - 4 wins,Tom Jones,https://www.imdb.com/title/tt0057590/,movie,6.5,129,1963,"Adventure, Comedy, History",11087,1963-06-26,Tony Richardson
54,tt0075686,2013-08-27,2013-08-27,1978 - 4 wins,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",245463,1977-03-27,Woody Allen
55,tt0081283,2013-08-27,2013-08-27,1981 - 4 wins,Ordinary People,https://www.imdb.com/title/tt0081283/,movie,7.7,124,1980,Drama,44772,1980-09-19,Robert Redford
56,tt0082158,2013-08-27,2013-08-27,1982 - 4 wins,Chariots of Fire,https://www.imdb.com/title/tt0082158/,movie,7.2,125,1981,"Biography, Drama, Sport",52213,1981-03-30,Hugh Hudson
57,tt0091763,2013-08-27,2013-08-27,1987 - 4 wins,Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",368451,1986-12-19,Oliver Stone
58,tt0095953,2013-08-27,2013-08-27,1989 - 4 wins,Rain Man,https://www.imdb.com/title/tt0095953/,movie,8.0,133,1988,Drama,459419,1988-12-12,Barry Levinson
59,tt0097239,2013-08-27,2013-08-27,1990 - 4 wins,Driving Miss Daisy,https://www.imdb.com/title/tt0097239/,movie,7.4,99,1989,Drama,95104,1989-12-11,Bruce Beresford
60,tt0105695,2013-08-27,2013-08-27,1993 - 4 wins,Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",360572,1992-08-03,Clint Eastwood
61,tt0268978,2013-08-27,2013-08-27,2002 - 4 wins,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",815328,2001-12-13,Ron Howard
62,tt0405159,2013-08-27,2013-08-27,2005 - 4 wins,Million Dollar Baby,https://www.imdb.com/title/tt0405159/,movie,8.1,132,2004,"Drama, Sport",614147,2004-12-05,Clint Eastwood
63,tt0407887,2013-08-27,2013-08-27,2007 - 4 wins,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1140952,2006-09-26,Martin Scorsese
64,tt0477348,2013-08-27,2013-08-27,2008 - 4 wins,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.1,122,2007,"Crime, Drama, Thriller",814518,2007-05-19,"Joel Coen, Ethan Coen"
65,tt1504320,2013-08-27,2013-08-27,2011 - 4 wins,The King's Speech,https://www.imdb.com/title/tt1504320/,movie,8.0,118,2010,"Biography, Drama, History",620946,2010-09-06,Tom Hooper
66,tt2562232,2015-02-23,2015-02-23,2015 - 4 wins,Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/,movie,7.7,119,2014,"Comedy, Drama",556489,2014-08-27,Alejandro G. Iñárritu
67,tt5580390,2018-10-31,2018-10-31,2018 - 4 wins,The Shape of Water,https://www.imdb.com/title/tt5580390/,movie,7.3,123,2017,"Adventure, Drama, Fantasy, Romance, Thriller",348956,2017-08-31,Guillermo del Toro
68,tt6751668,2020-02-10,2020-02-10,2020 - 4 wins,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Drama, Thriller",400505,2019-05-21,Bong Joon Ho
69,tt0021746,2013-08-27,2013-08-27,1931 - 3 wins,Cimarron,https://www.imdb.com/title/tt0021746/,movie,5.9,123,1931,"Drama, Western",5151,1931-01-26,Wesley Ruggles
70,tt0023876,2013-08-27,2013-08-27,1934 - 3 wins,Cavalcade,https://www.imdb.com/title/tt0023876/,movie,5.8,112,1933,"Drama, Romance, War",4298,1933-01-05,Frank Lloyd
71,tt0027698,2013-08-27,2013-08-27,1937 - 3 wins,The Great Ziegfeld,https://www.imdb.com/title/tt0027698/,movie,6.7,176,1936,"Biography, Drama, Musical, Romance",6867,1936-03-22,Robert Z. Leonard
72,tt0029146,2013-08-27,2013-08-27,1938 - 3 wins,The Life of Emile Zola,https://www.imdb.com/title/tt0029146/,movie,7.2,116,1937,"Biography, Drama",6748,1937-08-11,William Dieterle
73,tt0034583,2013-08-27,2013-08-27,1944 - 3 wins,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",501896,1942-11-26,Michael Curtiz
74,tt0039416,2013-08-27,2013-08-27,1948 - 3 wins,Gentleman's Agreement,https://www.imdb.com/title/tt0039416/,movie,7.2,118,1947,"Drama, Romance",14216,1947-11-11,Elia Kazan
75,tt0041113,2013-08-27,2013-08-27,1950 - 3 wins,All the King's Men,https://www.imdb.com/title/tt0041113/,movie,7.5,110,1949,"Drama, Film-Noir",12617,1949-11-08,Robert Rossen
76,tt0064665,2013-08-27,2013-08-27,1970 - 3 wins,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.8,113,1969,Drama,96789,1969-05-25,John Schlesinger
77,tt0068646,2013-08-27,2013-08-27,1973 - 3 wins,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1542484,1972-03-14,Francis Ford Coppola
78,tt0075148,2013-08-27,2013-08-27,1977 - 3 wins,Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",498812,1976-11-20,John G. Avildsen
79,tt0375679,2013-08-27,2013-08-27,2006 - 3 wins,Crash,https://www.imdb.com/title/tt0375679/,movie,7.8,112,2004,"Crime, Drama, Thriller",411731,2004-09-10,Paul Haggis
80,tt1024648,2013-08-27,2013-08-27,2013 - 3 wins,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",557115,2012-08-31,Ben Affleck
81,tt2024544,2015-02-23,2015-02-23,2014 - 3 wins,12 Years a Slave,https://www.imdb.com/title/tt2024544/,movie,8.1,134,2013,"Biography, Drama, History",613666,2013-08-30,Steve McQueen
82,tt4975722,2018-10-31,2018-10-31,2017 - 3 wins,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,255140,2016-09-02,Barry Jenkins
83,tt6966692,2019-02-25,2019-02-25,2019 - 3 wins,Green Book,https://www.imdb.com/title/tt6966692/,movie,8.2,130,2018,"Biography, Comedy, Drama, Music",320136,2018-09-11,Peter Farrelly
84,tt0018578,2013-08-27,2013-08-27,1929 - 2 wins,Wings,https://www.imdb.com/title/tt0018578/,movie,7.5,144,1927,"Drama, Romance, War, Action",10824,1927-05-19,"Harry d'Abbadie d'Arrast, William A. Wellman"
85,tt0020629,2013-08-27,2013-08-27,1930 - 2 wins,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,movie,8.0,152,1930,"Drama, War",55599,1930-04-21,Lewis Milestone
86,tt0030993,2013-08-27,2013-08-27,1939 - 2 wins,You Can't Take It with You,https://www.imdb.com/title/tt0030993/,movie,7.9,126,1938,"Comedy, Drama, Romance",22315,1938-09-01,Frank Capra
87,tt0032976,2013-08-27,2013-08-27,1941 - 2 wins,Rebecca,https://www.imdb.com/title/tt0032976/,movie,8.1,130,1940,"Drama, Mystery, Romance, Thriller",117054,1940-03-21,Alfred Hitchcock
88,tt0044672,2013-08-27,2013-08-27,1953 - 2 wins,The Greatest Show on Earth,https://www.imdb.com/title/tt0044672/,movie,6.6,152,1952,"Drama, Family, Romance",12346,1952-01-10,Cecil B. DeMille
89,tt1895587,2016-06-19,2016-06-19,2016 - 2 wins,Spotlight,https://www.imdb.com/title/tt1895587/,movie,8.1,129,2015,"Biography, Crime, Drama",396920,2015-09-03,Tom McCarthy
90,tt0019729,2013-08-27,2013-08-27,1930 - 1 win,The Broadway Melody,https://www.imdb.com/title/tt0019729/,movie,5.7,100,1929,"Drama, Musical, Romance",6192,1929-02-01,Harry Beaumont
91,tt0022958,2013-08-27,2013-08-27,1932 - 1 win,Grand Hotel,https://www.imdb.com/title/tt0022958/,movie,7.4,112,1932,"Drama, Romance",16571,1932-04-12,Edmund Goulding
92,tt0026752,2013-08-27,2013-08-27,1936 - 1 win,Mutiny on the Bounty,https://www.imdb.com/title/tt0026752/,movie,7.7,132,1935,"Adventure, Biography, Drama, History, Romance",19960,1935-11-08,Frank Lloyd
